92302;Riverside;2
92303;San Bernardino;9
92304;San Bernardino;9
92305;San Bernardino;9
92306;Riverside;2
92307;San Bernardino;9
92308;San Bernardino;9
92309;San Bernardino;9
92310;San Bernardino;9
92311;San Bernardino;9
92312;San Bernardino;9
92313;San Bernardino;9
92314;San Bernardino;9
92315;San Bernardino;9
92316;San Bernardino;9
92317;San Bernardino;9
92318;San Bernardino;9
92319;San Bernardino;9
92320;Riverside;2
92321;San Bernardino;9
92322;San Bernardino;9
92323;San Bernardino;9
92324;San Bernardino;9
92325;San Bernardino;9
92326;San Bernardino;9
92327;San Bernardino;9
92328;San Bernardino;9
92329;San Bernardino;9
92330;Riverside;2
92331;San Bernardino;9
92332;San Bernardino;9
92333;San Bernardino;9
92334;San Bernardino;9
92335;San Bernardino;9
92336;San Bernardino;9
92337;San Bernardino;9
92338;San Bernardino;9
92339;San Bernardino;9
92340;Riverside;2
92341;San Bernardino;9
92342;San Bernardino;9
92343;Riverside;2
92344;San Bernardino;9
92345;San Bernardino;9
92346;San Bernardino;9
92347;San Bernardino;9
92348;Riverside;2
92350;San Bernardino;9
92351;San Bernardino;9
92352;San Bernardino;9
92353;Riverside;2
92354;San Bernardino;9
92355;San Bernardino;9
92356;San Bernardino;9
92358;San Bernardino;9
92359;San Bernardino;9
92360;Riverside;2
92361;Riverside;2
92362;Riverside;2
92363;San Bernardino;9
92364;San Bernardino;9
92365;San Bernardino;9
92366;San Bernardino;9
92367;Riverside;2
92368;San Bernardino;9
92369;San Bernardino;9
92370;Riverside;2
92371;San Bernardino;9
92372;San Bernardino;9
92373;San Bernardino;9
92374;San Bernardino;9
92375;San Bernardino;9
92376;San Bernardino;9
92377;San Bernardino;9
92378;San Bernardino;9
92380;Riverside;2
92381;Riverside;2
92382;San Bernardino;9
92383;Riverside;2
92384;San Bernardino;9
92385;San Bernardino;9
92386;San Bernardino;9
92387;San Bernardino;9
92388;San Bernardino;9
92389;San Bernardino;9
92390;Riverside;2
92391;San Bernardino;9
92392;San Bernardino;9
92393;San Bernardino;9
92394;San Bernardino;9
92395;San Bernardino;9
92396;Riverside;2
92397;San Bernardino;9
92398;San Bernardino;9
92399;San Bernardino;9
92400;San Bernardino;9
92401;San Bernardino;9
92402;San Bernardino;9
92403;San Bernardino;9
92404;San Bernardino;9
92405;San Bernardino;9
92406;San Bernardino;9
92407;San Bernardino;9
92408;San Bernardino;9
92409;San Bernardino;9
92410;San Bernardino;9
92411;San Bernardino;9
92412;San Bernardino;9
92413;San Bernardino;9
92414;San Bernardino;9
92415;San Bernardino;9
92416;San Bernardino;9
92417;San Bernardino;9
92418;San Bernardino;9
92423;San Bernardino;9
92427;San Bernardino;9
92501;Riverside;2
92502;Riverside;2
92503;Riverside;2
92504;Riverside;2
92505;Riverside;2
92506;Riverside;2
92507;Riverside;2
92508;Riverside;2
92509;Riverside;2
92510;San Bernardino;9
92511;San Bernardino;9
92512;San Bernardino;9
92513;Riverside;2
92514;Riverside;2
92515;Riverside;2
92516;Riverside;2
92517;San Bernardino;9
92518;Riverside;2
92519;Riverside;2
92520;San Bernardino;9
92521;Riverside;2
92522;Riverside;2
92523;San Bernardino;9
92530;Riverside;2
92531;Riverside;2
92532;Riverside;2
92536;Riverside;2
92539;Riverside;2
92541;San Bernardino;9
92543;Riverside;2
92544;Riverside;2
92545;Riverside;2
92546;Riverside;2
92547;San Bernardino;9
92548;Riverside;2
92549;Riverside;2
92550;Riverside;2
92551;Riverside;2
92552;Riverside;2
92553;Riverside;2
92554;Riverside;2
92555;Riverside;2
92556;Riverside;2
92557;Riverside;2
92561;Riverside;2
92562;Riverside;2
92563;Riverside;2
92564;Riverside;2
92567;Riverside;2
92570;Riverside;2
92571;Riverside;2
92572;Riverside;2
92581;Riverside;2
92582;Riverside;2
92583;Riverside;2
92584;Riverside;2
92585;Riverside;2
92586;Riverside;2
92587;Riverside;2
92589;Riverside;2
92590;Riverside;2
92591;Riverside;2
92592;Riverside;2
92593;Riverside;2
92595;Riverside;2
92596;Riverside;2
92599;San Bernardino;9
92601;Santa Ana;5
92602;Santa Ana;5
92603;Santa Ana;5
92604;Santa Ana;5
92605;Anaheim;4
92606;Santa Ana;5
92607;Santa Ana;5
92608;Santa Ana;5
92609;Santa Ana;5
92610;Santa Ana;5
92611;Santa Ana;5
92612;Santa Ana;5
92613;Santa Ana;5
92614;Santa Ana;5
92615;Anaheim;4
92616;Santa Ana;5
92617;Riverside;2
92618;Santa Ana;5
92619;Santa Ana;5
92620;Santa Ana;5
92621;Anaheim;4
92622;Anaheim;4
92623;Santa Ana;5
92624;Santa Ana;5
92625;Santa Ana;5
92626;Santa Ana;5
92627;Santa Ana;5
92628;Santa Ana;5
92629;Santa Ana;5
92630;Santa Ana;5
92631;Anaheim;4
92632;Anaheim;4
92633;Anaheim;4
92634;Anaheim;4
92635;Anaheim;4
92636;Anaheim;4
92637;Anaheim;4
92638;Anaheim;4
92639;Santa Ana;5
92640;Anaheim;4
92641;Anaheim;4
92642;Anaheim;4
92643;Anaheim;4
92644;Anaheim;4
92645;Anaheim;4
92646;Santa Ana;5
92647;Santa Ana;5
92648;Santa Ana;5
92649;Santa Ana;5
92650;Santa Ana;5
92651;Santa Ana;5
92652;Santa Ana;5
92653;Santa Ana;5
92654;Santa Ana;5
92655;Santa Ana;5
92656;Santa Ana;5
92657;Anaheim;4
